ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8145175,8.83E-32,3.35E-34,-17.1152063,67.2959025,-5.02E-01,PDLIM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8122176,9.98E-32,3.81E-34,-17.0894738,67.1670273,-2.5,TCF21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8076584,1.04E-31,4.01E-34,-17.0794432,67.116769,-6.33E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8132092,1.08E-31,4.19E-34,-17.070506,67.0719783,-2.57,INMT-FAM188B,INMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8079140,1.15E-31,4.51E-34,-17.0559948,66.999231,-9.25E-01,SNRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7917649,1.21E-31,4.77E-34,-17.045075,66.9444711,-2.17,TGFBR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7923426,1.24E-31,4.92E-34,17.0391117,66.9145602,1.85,UBE2T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8102988,1.32E-31,5.26E-34,-17.0255562,66.8465513,-1.27,GYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7983132,1.72E-31,6.93E-34,-16.9711372,66.5732973,-1.57,STARD9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7931977,1.79E-31,7.28E-34,-16.9614896,66.5248149,-1.34,ITIH5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7920984,1.88E-31,7.70E-34,16.9503786,66.4689644,9.15E-01,CCT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7939298,1.98E-31,8.14E-34,-16.9393033,66.4132779,-9.58E-01,CAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8092000,2.03E-31,8.41E-34,16.9330675,66.3819175,1.51,TERC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
